recipe_id,recipe_name,ingredients,cuisine,calories,rating,instructions,difficulty
1,Chicken Fried Rice,chicken rice egg soy sauce garlic carrot peas,Asian,450,4.5,Heat oil in wok over high heat | Scramble eggs and set aside | Stir-fry diced chicken until golden | Add garlic and cook for 30 seconds |Toss in rice and break up clumps | Add soy sauce and mix well | Stir in carrots and peas | Add eggs back and combine | Meal is ready to serve while hot |,medium
2,Spaghetti Carbonara,pasta egg bacon cheese black pepper,Italian,600,4.8,Cook pasta in salted boiling water until al dente | Fry bacon until crispy and set aside | Beat eggs with grated cheese and black pepper | Drain pasta and reserve pasta water | Toss hot pasta with bacon and remove from heat | Quickly mix in egg mixture while tossing | Add pasta water if needed for creaminess | Serve immediately with extra cheese,medium
4,Chicken Curry,chicken curry powder coconut milk onion garlic,Indian,550,4.7,Heat oil and sauté diced onions until golden | Add chicken pieces and brown on all sides | Stir in curry powder and cook for 1 minute | Pour in coconut milk and bring to simmer | Cover and cook for 20 minutes until chicken is tender | Adjust seasoning with salt | Serve over steamed rice,medium
5,Beef Tacos,ground beef taco seasoning tortillas lettuce tomato cheese,Mexican,400,4.6,Brown ground beef in a pan over medium heat | Drain excess fat from the beef | Add taco seasoning and water and simmer | Warm tortillas in microwave or pan | Fill tortillas with seasoned beef | Top with shredded lettuce and diced tomatoes | Add shredded cheese on top | Fold and serve,medium
6,Lentil Soup,lentils vegetable broth carrot celery onion garlic,Middle Eastern,300,4.1,Rinse lentils under cold water | sauté diced onion and garlic in oil | Add chopped carrots and celery and cook | Pour in vegetable broth and add lentils | Bring to boil then reduce to simmer | Cook for 25-30 minutes until lentils are tender | Season with salt and pepper | Serve hot,medium
7,Margherita Pizza,pizza dough tomato sauce mozzarella basil olive oil,Italian,700,4.9,Preheat oven to 475°F (245°C) | Roll out pizza dough on floured surface | Spread tomato sauce evenly leaving border | Tear mozzarella and distribute on pizza | Drizzle with olive oil | Bake for 12-15 minutes until crust is golden | Add fresh basil leaves after baking | Slice and serve,medium
8,Sushi Rolls,rice seaweed salmon avocado soy sauce wasabi,Japanese,350,4.3,Cook rice and let cool with rice vinegar | Place nori sheet on bamboo mat | Spread rice evenly on nori leaving border | Place salmon and avocado in center | Roll tightly using bamboo mat | Slice into 8 pieces with wet knife | Serve with soy sauce and wasabi,hard
9,Pancakes,flour egg milk sugar baking powder butter,American,300,4.4,Mix flour | sugar | and baking powder in bowl | Whisk egg and milk together | Combine wet and dry ingredients until just mixed | Heat butter in pan over medium heat | Pour batter to form circles | Flip when bubbles appear on surface | Cook until golden on both sides | Serve with syrup and butter,easy
10,Fish and Chips,cod potato flour egg oil malt vinegar,British,650,4,Cut cod into thick strips | Mix flour | salt | and pepper for coating | Dip fish in beaten egg then coat with flour | Deep fry fish until golden and crispy | Cut potatoes into thick chips | Fry chips until golden brown | Drain on paper towels | Serve with malt vinegar,medium
11,Falafel Wrap,chickpeas herbs spices pita bread tahini sauce,Middle Eastern,400,4.5,Blend chickpeas/herbs and spices in food processor | Form mixture into small balls | Deep fry falafel until golden brown | Warm pita bread in oven | Spread tahini sauce inside pita | Add falafel balls to pita | Top with vegetables | Wrap and serve,medium
12,Paella,rice saffron chicken shrimp mussels peas bell pepper,Spanish,500,4.6,Heat oil in large paella pan | sauté chicken pieces until golden | Add bell peppers and peas | Stir in rice and coat with oil | Add saffron to broth and pour over rice | Arrange shrimp and mussels on top | Simmer without stirring for 20 minutes | Let rest for 5 minutes before serving,hard
13,Chocolate Cake,flour sugar cocoa powder egg butter milk,Dessert,480,5,Preheat oven to 350°F (175°C) | Mix flour | sugar | and cocoa powder | Beat eggs with melted butter and milk | Combine wet and dry ingredients | Pour batter into greased cake pan | Bake for 30-35 minutes until toothpick comes clean | Let cool completely | Frost and serve,easy
14,Ratatouille,eggplant zucchini tomato onion bell pepper garlic herbs,French,250,4.2,Slice eggplant | zucchini | and tomatoes thinly | SautÃƒÂ© diced onion and bell pepper in olive oil | Add minced garlic and cook briefly | Arrange sliced vegetables in baking dish | Drizzle with olive oil and herbs | Bake at 375Ã‚Â°F for 45 minutes | Serve hot or at room temperature,medium
15,Pho,beef broth rice noodles beef sirloin cilantro basil lime,Vietnamese,420,4.8,Simmer beef broth with ginger and star anise | Cook rice noodles according to package | Slice beef sirloin very thinly | Place noodles in serving bowl | Add raw beef slices on top | Pour hot broth over to cook beef | Garnish with cilantro | basil | and lime | Serve immediately,medium
16,Chili Con Carne,ground beef beans tomato onion chili powder cumin,American,520,4.3,Brown ground beef in large pot | Add diced onion and cook until soft | Stir in chili powder and cumin | Add crushed tomatoes and beans | Bring to boil then reduce heat | Simmer for 30 minutes stirring occasionally | Adjust seasoning to taste | Serve with rice or cornbread,medium
17,Pad Thai,rice noodles shrimp tofu peanuts lime chili sauce,Thai,470,4.7,Soak rice noodles in warm water | Heat oil in wok over high heat | Stir-fry shrimp and tofu until cooked | Push to side and scramble egg | Add drained noodles and sauce | Toss everything together | Add peanuts and lime juice | Garnish with bean sprouts and serve,medium
18,French Toast,bread egg milk cinnamon vanilla sugar butter,French/American,350,4.4,Whisk eggs | milk | cinnamon | and vanilla | Dip bread slices in egg mixture | Melt butter in pan over medium heat | Fry bread until golden on both sides | Sprinkle with sugar while cooking | Serve with syrup and butter | Top with fresh berries if desired,easy
19,Goulash,beef onion paprika tomato potato carrot,Hungarian,580,4.5,Brown beef chunks in oil | Add diced onion and cook until soft | Stir in paprika and cook briefly | Add diced tomatoes and potatoes | Pour in beef broth to cover | Add chopped carrots | Simmer for 90 minutes until beef is tender | Serve with crusty bread,medium
20,Tzatziki,greek yogurt cucumber garlic olive oil dill lemon juice,Greek,150,4.1,Grate cucumber and squeeze out excess water | Mix Greek yogurt in bowl | Add minced garlic to yogurt | Stir in grated cucumber | Add olive oil and dill | Squeeze in lemon juice | Season with salt and mix well | Chill before serving,medium
21,Butter Chicken,chicken tomato cream butter garam masala ginger,Indian,615,4.8,Marinate chicken in yogurt and spices | Grill or pan-fry chicken pieces | Make sauce with tomatoes | cream | and butter | Add garam masala and ginger to sauce | Simmer sauce until thickened | Add cooked chicken to sauce | Cook together for 10 minutes | Serve with rice or naan,medium
22,Caesar Salad,lettuce croutons parmesan chicken caesar dressing,American,320,4.4,Chop romaine lettuce into bite-size pieces | Grill or pan-fry chicken breast | Slice cooked chicken into strips | Toss lettuce with Caesar dressing | Add grated Parmesan cheese | Top with croutons | Add chicken slices on top | Serve immediately,easy
23,Teriyaki Salmon,salmon soy sauce ginger garlic sesame rice,Japanese,450,4.7,Mix soy sauce | sugar | ginger | and garlic for marinade | Marinate salmon for 30 minutes | Heat oil in pan over medium-high heat | Sear salmon skin-side down first | Flip and cook until done | Pour marinade in pan and reduce | Sprinkle with sesame seeds | Serve with steamed rice,medium
24,Vegetable Stir Fry,broccoli bell pepper carrot soy sauce tofu,Asian,300,4.3,Cut broccoli | bell pepper | and carrot into bite-size pieces | Press tofu and cut into cubes | Heat oil in wok over high heat | Stir-fry tofu until golden | Add vegetables starting with carrots | Add soy sauce and garlic | Toss everything together | Serve over rice,medium
25,Beef Stroganoff,beef mushrooms sour cream onion pasta,Russian,650,4.6,Slice beef into thin strips | Brown beef in butter over high heat | Remove beef and sauté sliced mushrooms | Add diced onion and cook until soft | Pour in beef broth and simmer | Stir in sour cream | Add beef back to pan | Serve over cooked pasta,hard
26,Veggie Burger,black beans oats onion spices burger buns,American,420,4.2,Mash black beans in bowl | Mix in oats | diced onion | and spices | Form mixture into patties | Refrigerate patties for 30 minutes | Heat oil in pan over medium heat | Cook patties until crispy on both sides | Toast burger buns | Assemble burgers with toppings and serve,medium
27,Shakshuka,eggs tomato pepper onion garlic cumin,Middle Eastern,280,4.5,Sauté diced onion and bell pepper in oil | Add minced garlic and cook briefly | Pour in diced tomatoes and cumin | Simmer sauce until thickened | Make wells in sauce for eggs | Crack eggs into wells | Cover and cook until eggs are set | Serve with crusty bread,medium
28,Caprese Salad,tomato mozzarella basil olive oil balsamic,Italian,220,4.4,Slice tomatoes and mozzarella into rounds | Arrange alternating slices on plate | Tuck fresh basil leaves between slices | Drizzle with olive oil | Add balsamic vinegar | Sprinkle with salt and pepper | Serve at room temperature,easy
29,Ramen Bowl,noodles pork broth egg green onion seaweed,Japanese,550,4.8,Simmer pork broth for rich flavor | Cook ramen noodles according to package | Soft-boil eggs and halve them | Slice cooked pork into thin pieces | Place noodles in serving bowl | Pour hot broth over noodles | Top with pork | egg | green onion | and seaweed | Serve immediately,hard
